word1,word2,count
am,so,446
so,happy,422
happy,to,627
to,be,16088
exploring,the,41
the,little,463
little,tiny,12
around,this,66
this,island,8
also,to,70
be,able,1319
able,to,2852
to,take,2607
take,the,745
the,gang,55
to,the,21288
the,beach,315
parks,or,5
at,a,2741
a,moments,10
moments,notice,6
the,sentiment,58
sentiment,is,25
is,from,246
which,is,2046
is,one,1219
one,of,7426
sets,you,6
you,can,4801
can,choose,54
choose,for,7
for,free,295
free,with,21
with,every,93
every,you,6
you,spend,68
spend,with,19
with,me,1158
between,now,41
now,and,570
and,st,90
i've,made,85
made,a,835
a,box,116
using,the,442
the,mini,39
so,far,1099
die,today,10
far,i,65
dont,trust,16
i,have,8669
have,my,291
facial,expressions,12
you're,so,89
my,a,10
a,the,65
the,classes,26
i'm,taking,69
bricks,and,11
should,get,165
get,me,332
and,stones,9
me,to,2243
to,my,2415
into,the,3950
the,mouths,6
mouths,of,6
of,suspected,8
so,welcome,16
was,thought,13
middle,name,36
welcome,it,10
thought,to,143
it,was,9752
wait,for,708
to,stop,820
was,a,5736
for,it,958
a,pleasure,92
stop,them,27
pleasure,for,5
it,lol,122
for,me,2654
so,creative,10
their,way,226
way,out,130
on,number,7
watch,out,114
on,other,115
the,night,832
night,looking,8
looking,for,1501
for,fresh,15
started,talking,31
be,there,627
stamped,on,8
there,thank,8
again,this,138
thank,you,3883
this,was,1088
white,by,5
you,for,1288
was,before,52
for,all,1241
all,the,5116
things,got,25
card,stock,41
the,kudos,6
got,really,21
really,weird,20
the,officers,80
weird,when,8
paper,is,51
when,he,1737
he,talked,46
talked,about,276
giving,this,13
about,the,4231
this,race,33
race,a,9
a,grade,11
grade,of,8
the,moon,197
story,will,15
why,no,15
will,be,8021
be,up,140
up,in,1403
in,am,8
that's,how,159
how,powerful,5
there,are,3351
whiff,of,22
words,are,60
in,a,12034
of,joy,68
are,to,225
surveillance,cameras,9
a,very,1608
to,kids,25
very,special,68
martha,stewart,42
stewart,punch,5
i've,been,1111
trying,to,3009
cover,in,19
to,pick,434
in,time,367
time,to,2532
pick,a,79
to,avoid,409
this,choice,6
a,spot,141
spot,for,83
for,the,20074
for,weeks,107
the,st,575
stay,close,10
weeks,it,15
then,turned,21
turned,to,124
to,shoot,145
it,made,188
made,sense,36
back,it,58
working,on,994
sense,i,18
beads,and,18
on,the,19921
close,for,20
i,said,762
was,too,316
the,t-shirt,6
said,ok,10
and,lace,6
too,risky,8
ok,it,13
for,rob,5
was,done,111
they,decided,27
maybe,we,109
we,should,598
brand,new,194
because,they,823
should,make,84
new,christmas,7
they,might,187
at,beer,9
might,hit,5
from,my,893
beer,pong,15
cd,from,10
my,stash,49
from,the,8795
instead,they,46
the,heart,391
i'll,check,52
heart,to,76
check,with,35
with,one,400
chased,the,7
with,a,8293
be,released,125
the,suspect,73
of,my,4459
suspect,who,7
happy,hour,246
who,was,1036
night,at,292
hour,is,22
handle,on,23
was,still,396
is,happening,130
tomorrow,he,5
on,top,479
happening,right,24
he,owns,12
top,this,12
right,now,2412
at,pm,1244
up,north,18
pm,cst,14
sick,of,136
owns,a,39
of,all,1453
broad,and,15
a,huge,824
and,called,89
called,for,160
i'm,like,76
for,assistance,15
like,really,35
ham,and,29
assistance,the,6
it's,going,318
and,potatoes,8
makes,it,385
going,to,7957
it,easier,106
don't,burn,6
but,not,1004
be,a,4628
easier,to,235
not,the,1460
a,good,4006
to,leave,689
good,one,177
leave,the,268
you'll,be,203
one,i'll,12
the,gate,89
i'll,send,42
be,surprised,110
send,you,150
the,person,474
you,this,165
up,at,574
surprised,how,12
person,who,310
this,article,118
on,our,777
at,all,1315
article,i,26
who,still,51
how,many,901
still,had,91
i,found,771
all,times,62
had,a,3899
a,handgun,21
our,first,238
many,times,328
first,episode,27
times,you,39
was,eventually,11
you,have,4194
have,to,6207
to,cross,75
is,in,1548
cross,the,93
sushi,and,11
in,the,41461
the,same,4852
and,sip,5
same,river,5
the,can,32
can,it,59
it,airs,6
there,will,534
this,saturday,146
will,also,330
saturday,night,256
also,be,319
the,new,3423
night,after,61
be,plenty,26
plenty,of,567
of,photo,13
god,i,150
i,hope,1926
hope,my,48
the,aircraft,22
and,away,38
my,editor,16
away,from,1217
will,fly,13
should,be,2347
won't,be,461
makes,me,789
be,applauded,6
be,the,2308
near,a,60
