word1,word2,word3,count
am,so,happy,46
so,happy,to,85
happy,to,be,100
also,to,be,6
to,be,able,369
be,able,to,1303
able,to,take,40
to,take,the,237
to,the,beach,75
at,a,moments,5
a,moments,notice,6
the,sentiment,is,18
sentiment,is,from,8
which,is,one,21
is,one,of,809
you,can,choose,24
between,now,and,41
so,far,i,52
far,i,have,22
i,have,my,90
i've,made,a,10
get,me,to,20
me,to,my,36
it,was,a,1398
the,mouths,of,6
wait,for,it,31
was,a,pleasure,24
for,me,to,408
me,to,be,99
to,be,there,123
was,thought,to,7
to,stop,them,19
there,thank,you,6
thank,you,for,1026
you,for,all,70
for,all,the,282
their,way,out,11
in,time,to,65
this,was,before,6
trying,to,pick,9
to,pick,a,30
a,spot,for,8
back,it,was,14
it,was,too,92
spot,for,the,15
when,he,talked,7
in,a,very,108
for,the,st,53
a,very,special,44
working,on,the,119
he,talked,about,24
maybe,we,should,17
talked,about,the,38
we,should,make,9
the,suspect,who,5
story,will,be,6
will,be,up,41
who,was,still,6
be,up,in,7
happy,hour,is,12
is,happening,right,9
from,the,heart,30
the,heart,to,14
happening,right,now,22
and,called,for,9
whiff,of,joy,7
sick,of,all,5
of,all,the,283
to,be,released,53
martha,stewart,punch,5
the,person,who,108
night,at,pm,15
at,pm,cst,6
still,had,a,19
but,not,the,49
it,made,sense,12
i,said,ok,6
there,will,also,19
will,also,be,96
from,my,stash,25
be,plenty,of,20
how,many,times,118
it,was,done,21
many,times,you,6
you,have,to,931
to,cross,the,31
with,one,of,97
the,same,river,5
one,of,my,842
won't,be,the,23
be,the,only,89
the,only,thing,280
makes,it,easier,25
a,variety,of,271
it,easier,to,41
it's,going,to,284
going,to,be,1775
to,be,a,1790
be,a,good,278
a,good,one,118
the,statue,of,22
to,leave,the,107
statue,of,liberty,20
fighting,for,a,7
i'll,send,you,18
for,a,black,5
up,at,all,10
at,all,times,54
someone,asked,me,12
asked,me,how,9
to,costa,rica,7
and,away,from,15
in,new,orleans,81
to,fight,for,47
is,in,the,406
the,guys,who,21
in,the,can,7
is,a,black,6
who,tried,to,24
a,black,man,12
tried,to,play,12
to,play,me,5
i,can't,stand,46
this,saturday,night,8
can't,stand,it,10
with,a,simple,19
fast,food,restaurants,6
god,i,hope,12
i,remember,when,47
i,hope,my,22
don't,give,you,5
give,you,a,134
come,back,to,122
makes,me,look,6
hello,to,the,8
to,the,uk,19
from,las,vegas,10
it,may,be,167
you,need,to,569
need,to,watch,18
very,nice,to,13
i,like,you,33
to,watch,that,14
nice,to,meet,72
to,meet,you,187
you,more,and,5
meet,you,too,17
more,and,more,239
probably,in,the,11
always,happy,to,22
happy,to,have,72
you,are,all,57
of,st,charles,16
are,all,amazing,5
cannot,wait,to,46
this,is,the,841
where,you,are,85
is,the,best,383
news,conference,wednesday,6
the,best,birthday,8
you,have,all,22
have,all,been,22
i,will,be,589
will,be,doing,37
anything,close,to,11
close,to,what,12
will,you,guys,7
great,start,to,22
start,to,my,8
laugh,out,loud,17
do,you,think,477
doing,this,weekend,5
you,think,that,41
out,loud,at,5
my,twitter,name,14
think,that,the,59
twitter,name,is,6
at,a,certain,22
the,london,olympics,9
your,welcome,and,8
will,be,a,483
be,a,success,13
and,hit,me,6
three,months,after,11
hit,me,up,129
it,but,they,10
me,up,on,13
but,they,have,53
up,on,facebook,11
they,have,no,57
my,name,is,91
but,i,am,281
i,am,not,592
who,in,the,20
because,i've,got,5
is,going,down,13
going,down,to,12
the,boys,are,25
do,u,mean,8
or,anyone,else,14
anyone,else,to,10
if,you,want,614
i,see,a,63
you,want,to,971
i,need,a,321
see,a,lot,28
want,to,see,319
a,lot,of,2943
to,see,some,71
a,day,weekend,6
there,is,no,761
it,off,on,7
on,monday,with,9
up,to,him,22
in,order,to,623
monday,with,a,6
to,recover,from,31
stay,on,the,37
on,the,ice,41
many,of,those,45
no,one,has,79
we,have,been,165
do,not,miss,8
many,of,the,366
have,been,living,7
of,the,things,159
the,things,she,9
thank,everyone,for,10
everyone,for,coming,6
for,coming,to,32
for,a,very,49
coming,to,my,11
a,very,long,63
not,only,is,53
very,long,time,44
is,that,a,76
for,the,great,60
like,this,one,47
this,one,in,20
money,in,the,44
at,pm,for,35
in,the,community,78
we're,playing,at,6
pm,for,the,10
for,the,pm,9
at,pm,tonight,20
pm,tonight,at,5
this,is,more,25
down,to,your,6
getting,ready,for,169
is,more,difficult,5
ready,for,the,188
for,the,trip,11
from,the,university,50
the,university,of,439
the,trip,to,28
mom,and,pop,6
so,why,not,39
that,s,show,10
center,on,the,9
on,the,edge,81
can,always,make,6
the,edge,of,127
always,make,my,5
will,be,presenting,6
edge,of,town,8
make,my,day,46
my,day,better,7
the,end,of,1444
i'm,such,a,40
end,of,the,897
such,a,cool,12
of,the,supermarket,6
this,is,not,368
from,behind,the,19
is,not,a,479
that,has,been,182
has,been,in,100
he,does,have,18
been,in,business,12
in,business,for,9
a,hundred,years,9
just,what,the,14
one,week,away,7
lookin,for,a,9
have,been,waiting,24
been,waiting,for,57
a,few,extra,19
a,big,ol,9
with,to,play,30
is,hosting,a,21
to,play,in,115
play,in,the,108
a,law,enforcement,6
in,the,first,819
to,help,a,27
if,we,will,5
here,we,go,83
we,will,see,56
we,go,again,9
is,well,worth,18
well,worth,it,22
feel,free,to,207
free,to,email,11
to,email,me,14
email,me,at,45
i,wish,u,9
and,her,little,5
me,at,and,10
at,and,i,12
and,i,can,154
two,minutes,later,6
that,would,have,136
would,have,made,48
have,made,me,9
with,you,on,31
to,be,here,100
to,reduce,their,11
that's,a,good,79
when,life,gives,11
a,good,thing,232
he,added,that,54
life,gives,you,10
tell,them,to,32
gives,you,lemons,5
that,while,he,13
wasn't,sure,if,15
sure,if,there,6
i've,got,one,5
this,thursday,at,8
there,would,be,130
sit,back,and,37
would,be,a,488
back,and,let,5
and,let,the,46
we,got,on,13
let,the,world,8
got,on,the,23
name,is,on,6
on,the,s,10
is,on,it,5
the,s,the,41
on,it,if,6
it,if,you,91
how,you,did,5
if,you,wanna,39
a,week,it,10
you,did,it,24
it,could,also,16
it,would,have,186
would,have,been,437
counting,down,the,25
to,take,care,98
down,the,days,19
take,care,of,252
here,but,it,11
but,it,worked,19
it,worked,out,22
worked,out,that,5
in,the,words,35
who,had,a,50
the,words,of,60
had,a,minor,9
get,a,free,41
and,we,both,16
gift,cards,and,5
i,love,it,340
she,got,to,13
got,to,meet,28
love,it,when,73
to,meet,and,33
it,when,a,10
if,you,like,181
and,other,items,12
he,had,no,55
is,still,a,100
glad,i,had,12
of,the,maple,5
i,had,my,97
maple,heights,school,5
my,camera,in,5
school,district,and,9
but,i,didn't,75
school,board,member,11
i,come,to,37
have,one,thing,10
come,to,your,12
one,thing,in,16
thing,in,common,5
your,job,and,7
in,common,they,7
kick,your,ass,12
they,must,be,38
martin,luther,king,71
luther,king,jr,43
to,be,effective,12
i,just,finished,79
just,finished,a,63
in,is,the,11
finished,a,mi,33
is,the,only,268
a,mi,run,35
cannot,drive,out,5
the,only,other,40
mi,run,with,33
run,with,a,28
to,win,the,209
win,the,award,5
can,do,that,57
with,a,time,21
a,time,of,75
time,of,with,17
of,with,nike,17
with,nike,gps,33
so,i'm,still,7
i'm,still,not,31
i,think,the,373
i,was,gone,13
in,the,film,80
the,film,when,5
is,a,prime,10
i'm,sorry,i,40
she,moved,in,7
it's,in,the,36
mean,what,i,6
a,percentage,of,20
what,i,just,19
in,the,us,432
i,just,said,26
for,spring,break,25
your,tweets,are,15
based,on,a,97
do,you,like,115
you,share,the,5
need,to,come,55
to,come,to,198
told,me,that,153
me,that,if,19
like,we,did,20
show,you,some,8
we,did,the,20
the,year,before,42
we,stayed,in,9
that,if,a,8
stayed,in,the,28
in,the,same,423
thank,goodness,for,24
with,a,side,20
a,side,of,35
the,heck,out,13
heck,out,of,14
room,with,the,5
out,of,you,33
is,on,vacation,5
i,love,you,896
maybe,maybe,not,6
love,you,too,138
they,do,not,104
i,liked,it,45
do,not,bring,6
it,too,and,15
and,thought,it,20
out,on,something,5
thought,it,was,267
it,was,awesome,70
when,they,get,36
was,awesome,i,7
after,a,long,73
does,the,same,13
i,like,to,290
the,same,thing,292
a,long,day,84
like,to,be,135
long,day,of,18
to,be,entertained,6
will,soon,be,39
