word1,word2,word3,word4,word5,count
to,be,able,to,take,6
thank,you,for,all,the,19
it's,going,to,be,a,78
going,to,be,a,good,31
to,be,a,good,one,6
nice,to,meet,you,too,9
i,see,a,lot,of,9
hope,you're,having,a,great,11
if,you,want,to,see,23
for,a,very,long,time,18
on,the,edge,of,town,6
when,life,gives,you,lemons,5
thank,you,for,the,rt,35
have,one,thing,in,common,5
it,feels,good,to,be,6
i,just,finished,a,mi,33
just,finished,a,mi,run,33
finished,a,mi,run,with,32
a,mi,run,with,a,19
mi,run,with,a,time,11
run,with,a,time,of,12
with,a,time,of,with,12
a,time,of,with,nike,17
time,of,with,nike,gps,17
you,need,to,come,to,6
i,can't,wait,to,get,23
can't,wait,to,get,my,13
after,a,long,day,of,8
wait,to,get,my,hands,8
to,get,my,hands,on,15
how,would,you,like,to,7
thanks,for,all,of,your,6
to,be,the,death,of,5
be,the,death,of,me,16
on,the,other,hand,is,25
center,for,the,study,of,10
hit,me,up,if,you,8
that,is,a,lot,of,5
and,one,of,the,most,11
what's,your,favorite,thing,to,8
your,favorite,thing,to,do,9
we,hope,to,see,you,19
please,follow,she,is,you,7
follow,she,is,you,biggest,7
she,is,you,biggest,fan,7
in,front,of,the,camera,11
i,have,no,interest,in,8
can't,wait,to,see,the,39
know,how,i,feel,about,10
didn't,know,what,was,going,5
know,what,was,going,on,8
a,big,thank,you,to,16
thank,you,to,everyone,who,40
you,to,everyone,who,came,8
to,everyone,who,came,out,25
can't,wait,to,do,it,5
everyone,who,came,out,last,5
who,came,out,last,night,6
now,is,the,time,to,19
be,back,in,the,studio,5
was,one,of,the,first,28
whose,job,it,is,to,6
going,to,be,a,great,43
to,be,a,great,day,9
hope,you,have,a,great,51
you,have,a,great,day,34
hope,to,see,you,there,35
can't,wait,to,go,back,5
to,go,back,to,the,25
thank,you,so,much,for,94
you,so,much,for,the,24
off,to,a,great,start,11
hope,you,are,doing,well,12
thanks,to,my,new,followers,5
we,can't,wait,to,show,5
can't,wait,to,show,you,10
would,love,it,if,you,8
why,do,i,feel,like,6
happy,mother's,day,to,all,55
makes,it,all,worth,it,5
is,the,best,way,to,21
the,best,way,to,get,11
every,once,in,a,while,33
just,got,back,from,the,16
it's,not,going,to,be,17
you,don't,want,to,miss,16
i,think,it,will,be,14
think,it,will,be,a,5
i,would,love,to,see,23
would,love,to,see,you,19
a,good,job,with,the,5
i,can't,wait,to,go,9
thank,you,to,all,who,12
know,everything,there,is,to,5
everything,there,is,to,know,6
an,increase,in,the,number,7
in,the,past,two,years,15
the,th,anniversary,of,the,41
there,is,no,way,in,5
is,no,way,in,hell,5
what,could,have,been,a,5
right,in,front,of,you,10
it,makes,me,want,to,10
is,one,of,the,most,74
and,if,you,have,a,5
a,turn,for,the,worse,6
i,knew,i,was,going,11
knew,i,was,going,to,15
i,was,going,to,be,31
was,going,to,be,a,31
looking,forward,to,seeing,the,12
president,and,ceo,of,the,9
i,am,so,grateful,for,5
also,a,member,of,the,7
i,saw,it,in,the,5
i,have,no,idea,how,23
have,no,idea,how,to,10
i,can't,wait,for,the,26
can't,wait,for,the,season,6
on,the,back,of,the,14
you,have,to,be,a,8
we,are,looking,forward,to,26
are,looking,forward,to,seeing,6
looking,forward,to,seeing,your,10
when,you,get,a,chance,12
they,did,a,great,job,5
make,it,a,great,day,6
here,are,some,of,my,5
hut,hut,hut,hut,hut,7
the,new,jersey,performing,arts,5
preheat,oven,to,degrees,f,8
in,the,middle,of,the,181
i,am,not,in,the,5
the,university,of,southern,california,6
makes,me,feel,like,a,7
become,one,of,the,most,6
one,of,the,most,famous,9
in,the,early,stages,of,5
do,it,all,the,time,10
thanks,for,the,follow,how,7
what,i,have,to,say,6
hope,you,are,having,a,22
you,are,having,a,good,5
if,you,would,like,to,41
is,in,the,process,of,16
what,are,you,doing,to,14
are,you,doing,to,celebrate,6
on,the,left,side,of,12
the,left,side,of,the,26
in,the,direction,of,the,11
to,take,a,step,back,7
take,a,step,back,and,5
la,la,la,la,la,5
out,in,the,middle,of,5
that,a,small,group,of,5
the,fact,that,this,is,7
the,only,thing,that,ever,5
the,public,utilities,commission,of,8
public,utilities,commission,of,ohio,8
late,in,the,second,period,9
how,did,i,not,know,8
did,i,not,know,about,5
been,thinking,a,lot,about,5
with,one,of,my,favorite,5
and,a,little,bit,of,10
somebody,that,i,used,to,14
that,i,used,to,know,13
be,sure,to,tune,in,8
turn,out,to,be,the,7
out,to,be,the,best,5
i,dont,want,to,go,6
as,long,as,they,are,12
there's,something,to,be,said,7
something,to,be,said,for,9
for,quite,some,time,now,8
is,one,of,my,favorite,42
for,a,year,and,a,7
a,year,and,a,half,35
see,what,i,can,do,14
it,is,going,to,be,46
is,going,to,be,a,101
in,the,middle,of,a,57
to,make,the,best,of,8
make,the,best,of,it,13
it,is,the,only,way,9
and,is,likely,to,remain,5
we,are,looking,for,a,8
i,hate,it,when,people,10
happy,th,birthday,to,my,6
at,the,height,of,the,10
in,the,fourth,quarter,and,9
hope,everyone,had,a,great,24
everyone,had,a,great,weekend,7
it,turned,out,to,be,26
turned,out,to,be,the,14
from,the,free,throw,line,7
need,to,get,back,to,9
to,get,back,to,the,15
it,was,great,to,meet,16
was,great,to,meet,you,9
i,guess,it's,time,to,5
it,would,mean,the,world,18
would,mean,the,world,to,15
i,have,to,go,to,23
the,shit,out,of,me,9
be,in,a,position,to,6
i,don't,know,if,it's,6
she,looked,at,me,and,5
can,someone,explain,to,me,6
someone,explain,to,me,why,6
i'm,so,proud,of,you,8
thanks,for,the,shout,out,68
had,a,lot,of,fun,27
what,do,you,think,of,34
incorporated,in,item,c,above,17
in,item,c,above,pp,16
thank,you,for,a,great,8
we,can't,wait,to,see,23
can't,wait,to,see,what,39
to,take,a,picture,of,15
may,the,th,be,with,9
the,th,be,with,you,9
it,would,be,best,to,7
of,the,shots,you,never,5
the,shots,you,never,take,5
don't,get,me,wrong,i,12
you,do,not,have,to,12
i,hope,you,enjoy,it,10
but,you,don't,have,to,5
you,don't,have,to,go,7
i,woke,up,this,morning,18
where,would,you,like,to,6
would,you,like,to,see,17
who,do,you,think,you,5
do,you,think,you,are,8
this,is,the,first,time,45
be,able,to,read,it,6
for,a,while,now,but,5
for,the,remainder,of,the,12
the,remainder,of,the,season,5
we,want,to,see,your,8
in,the,middle,of,nowhere,14
for,those,of,you,who,57
those,of,you,who,dont,7
what,i,need,to,do,7
hope,you,had,a,good,12
i,just,found,out,that,6
at,a,time,like,this,6
hey,i,just,met,you,15
crazy,but,here's,my,number,6
for,a,chance,to,win,65
we,are,very,excited,to,5
at,the,bottom,of,my,5
if,you,don't,want,to,13
see,what,i,did,there,7
have,to,go,to,work,8
can't,wait,to,see,u,6
as,soon,as,i,can,12
i'm,not,the,only,one,24
and,turn,it,into,a,5
today,is,my,th,birthday,9
is,my,th,birthday,and,8
my,th,birthday,and,i,8
th,birthday,and,i,love,8
birthday,and,i,love,you,8
and,i,love,you,so,13
i,love,you,so,so,14
love,you,so,so,so,14
you,so,so,so,much,10
so,so,so,much,will,8
so,so,much,will,you,8
so,much,will,you,please,8
much,will,you,please,follow,8
will,you,please,follow,me,16
you,please,follow,me,back,10
looking,forward,to,seeing,you,24
forward,to,seeing,you,again,7
every,time,i,see,a,8
it,is,important,to,remember,5
have,no,idea,what,the,9
don't,even,know,where,to,6
where,the,wild,things,are,17
no,matter,how,many,times,17
i,love,being,a,mom,6
do,you,know,how,to,7
i,thought,the,same,thing,5
looking,forward,to,going,to,6
thanks,for,the,heads,up,28
in,the,gulf,of,mexico,7
thanks,for,the,rt,of,6
for,the,rt,of,my,5
is,it,ok,if,i,5
my,neck,of,the,woods,8
for,the,first,time,it,8
the,first,time,it,was,8
for,the,first,time,ever,13
what,the,hell,are,you,6
in,less,than,an,hour,11
for,the,rest,of,the,119
falling,in,love,with,the,5
a,mi,run,with,nike,14
mi,run,with,nike,gps,14
now,you're,just,somebody,that,7
you're,just,somebody,that,i,8
just,somebody,that,i,used,9
at,the,end,of,the,375
the,end,of,the,first,19
end,of,the,first,quarter,9
on,the,road,this,season,5
to,keep,up,with,my,5
glad,to,have,you,here,5
the,late,s,and,early,14
late,s,and,early,s,15
thanks,to,all,of,our,11
i,think,it,would,be,20
i'm,going,to,have,to,31
going,to,have,to,check,5
i'm,looking,forward,to,the,7
so,i,can,go,to,9
i,think,one,of,the,5
for,helping,us,spread,the,10
helping,us,spread,the,word,10
when,are,you,coming,to,12
the,bottom,line,is,that,14
i,have,a,friend,who,6
we,need,to,catch,up,10
i,hope,you,have,a,36
over,the,past,four,years,8
take,a,look,at,the,27
i,feel,like,i,have,25
feel,like,i,have,to,5
i,could,really,use,a,7
but,i,have,no,idea,7
i,have,no,idea,what,57
if,you,don't,have,a,17
i,wish,i,had,a,21
to,get,out,there,and,6
get,a,piece,of,the,5
is,it,weird,that,i,8
the,kind,of,thing,that,6
keep,an,eye,out,for,29
to,those,of,us,who,5
have,to,go,to,school,8
ha,ha,ha,ha,ha,46
with,all,of,the,other,5
will,be,available,for,purchase,6
today,is,the,first,day,5
is,the,first,day,of,8
the,first,day,of,the,19
the,rest,of,your,life,22
association,for,the,advancement,of,5
is,the,only,thing,that,7
to,make,up,for,the,14
to,take,care,of,her,8
in,my,head,when,i,5
there,are,a,lot,of,77
can't,wait,to,see,you,72
wait,to,see,you,tomorrow,5
send,me,your,email,address,5
to,be,a,part,of,74
be,a,part,of,a,6
to,have,some,sort,of,6
at,the,world,trade,center,8
stay,tuned,for,more,details,6
i,think,this,is,a,14
is,a,bit,of,a,24
with,viggle,get,real,rewards,12
viggle,get,real,rewards,just,12
get,real,rewards,just,for,20
real,rewards,just,for,watching,20
rewards,just,for,watching,tv,20
over,the,next,three,years,11
i,wish,i,was,at,7
wish,i,was,at,the,6
the,turn,of,the,century,5
the,first,thing,i,thought,6
you,are,doing,a,great,5
are,doing,a,great,job,5
the,rest,of,the,week,34
on,more,than,one,occasion,11
i,was,in,high,school,15
have,to,wait,for,a,5
and,let,me,know,if,6
let,me,know,if,you,64
know,how,to,use,it,8
with,the,fact,that,the,8
you,had,a,chance,to,6
the,only,thing,that,matters,5
know,the,answer,to,that,5
that,was,going,to,be,5
a,couple,of,years,ago,30
you,want,to,be,in,9
is,going,to,be,on,10
what,we,need,to,do,7
i,would,really,like,to,7
as,far,as,i,know,22
wouldn't,it,be,great,if,5
if,it,makes,you,feel,5
thank,you,all,for,the,9
i,hate,when,people,say,7
life,liberty,and,the,pursuit,6
liberty,and,the,pursuit,of,6
thanks,to,all,my,followers,5
to,make,sure,that,the,14
to,be,a,good,day,17
for,the,first,time,today,9
it's,been,a,long,time,15
pleasure,in,life,is,doing,5
i,have,no,idea,why,12
